backbone,layer_depth,sae_arch,ablation_tag,num_prefix_tokens,has_cls,loss_recovered_decode_zero,loss_recovered_decode_zero_valid,mse_reduction_vs_zero,H_with_sae,H_zero_decode,H_original,saved_loss_recovered,loss_recovered_cls_proxy,loss_recovered_cls_proxy_valid,mse_reduction_vs_cls_proxy,H_zero_cls_proxy
croma,late,topk,late_topk_d1_perdim_aux1p0,0,False,0.9982238681951064,True,0.9841959544428688,0.017713768200741872,1.1208375815361264,0.015750988756143856,0.9982238681951064,,,,
dinov3_sat493m,late,topk,late_topk_d1_perdim_aux1p0,5,True,0.9903041510684955,True,0.7183740918251946,0.3225249120344718,1.145224578678608,0.3144700415432453,0.9903041510684955,0.0,False,-4.249348288211363,0.06144094358508786
mars_orbital_vit,late,matryoshka,late_matryoshka_d2_perdim_aux1p0,5,True,0.9697242770239763,True,0.8301387417226117,0.1901005944089284,1.1191521618101332,0.16109471247782783,0.969515665752143,0.0,False,-0.37702515261668645,0.13805164999905087
momo,middle,topk,middle_topk_d1_perdim_aux1p0_full,1,True,0.9941268893851858,True,0.9457633565524112,0.060002601627881326,1.1063111176093419,0.05382121199121078,0.9941268893851858,0.9828642474827601,True,0.8552590885255473,0.41455177403986454
satmae_pp,late,topk,late_topk_d1_perdim_aux1p0,1,True,0.9950117443609267,True,0.8463775436603095,0.1750609821950396,1.1395533333222072,0.17022572830319405,0.9950117443609267,0.0,False,-2.9316272004529393,0.04452634323388338
