backbone,ablation_tag,layer_depth,sae_arch,saebench_status,proxy_loss_recovered,proxy_mse_reduction_vs_zero,proxy_mean_l0,proxy_dead_fraction,proxy_absorption_fraction,proxy_label_purity_top20,mono_mean_purity_top20_official,mono_median_purity_top20_official,mono_mean_purity_top20_legacy_denom,mono_fraction_high_purity_top20,mono_top_k,mono_n_test_images,tcav_mean_max_cos_per_class,tcav_median_max_cos_per_class,tcav_max_cos_any_class,tcav_mean_cos_all_pairs
mars_orbital_vit,middle_topk_d1_perdim_aux1p0,middle,topk,interpretability:mono+tcav,0.9629579367555048,0.8014441877166745,40.0,0.1484375,0.8947,0.603440366972477,0.5892966360856269,0.55,0.5898063200815494,0.21406727828746178,20.0,311.0,0.32219994493893217,0.3002052307128906,0.40492182970046997,0.001442218259474733
mars_orbital_vit,,middle_matryoshka_d2_perdim_aux1p0,mars_orbital_vit,error: [enforce fail at inline_container.cc:626] . unexpected pos 22720 vs 22614,,,,,,,,,,,,,,,,
mars_orbital_vit,,middle_topk_d1_perdim_aux1p0,mars_orbital_vit,error: [enforce fail at inline_container.cc:626] . unexpected pos 22720 vs 22614,,,,,,,,,,,,,,,,
momo,late_matryoshka_d2_perdim_aux1p0,late,matryoshka,interpretability:mono+tcav,0.9957268205313152,0.9551906180406412,40.0,0.8444010466337204,0.9874,0.4920502092050209,0.5156903765690375,0.5,0.5169456066945606,0.1129707112970711,20.0,311.0,0.2990308212382452,0.2908408641815185,0.3445706963539123,0.0004939939936624
momo,late_topk_d1_perdim_aux1p0,late,topk,interpretability:mono+tcav,0.9956423892092352,0.9562951498548258,40.0,0.6549479067325592,0.9906,0.4917610062893082,0.5234848484848484,0.5,0.5193367869504234,0.1022727272727272,20.0,311.0,0.2730268580572946,0.2613725960254669,0.3319168984889984,0.0005515097026047
momo,,late_matryoshka_d2_perdim_aux1p0,momo,error: [enforce fail at inline_container.cc:626] . unexpected pos 22720 vs 22614,,,,,,,,,,,,,,,,
momo,,late_topk_d1_perdim_aux1p0,momo,error: [enforce fail at inline_container.cc:626] . unexpected pos 22720 vs 22614,,,,,,,,,,,,,,,,
momo,middle_matryoshka_d2_perdim_aux1p0,middle,matryoshka,interpretability:mono+tcav,0.9940351859863406,0.9448471809041392,40.0,0.83984375,0.9888,0.498170731707317,0.5089430894308943,0.45,0.5083359902226473,0.08130081300813,20.0,311.0,0.2843750523669379,0.3034444451332092,0.3500685691833496,5.352722362095803e-05
momo,middle_matryoshka_d2_perdim_aux1p0_full,middle,matryoshka,interpretability:mono+tcav,0.9946507406738194,0.9448441681778414,40.0,0.8352864533662796,0.9867,0.5009881422924901,0.5118110236220472,0.5,0.512551785806186,0.1023622047244094,20.0,311.0,0.2826283425092697,0.2720227539539337,0.391082227230072,0.000223389219389
momo,middle_topk_d1_perdim_aux1p0,middle,topk,interpretability:mono+tcav,0.9937884360053646,0.9450982492830008,40.0,0.6458333432674408,0.9876,0.5025735294117648,0.5156826568265682,0.5,0.5144251830218837,0.1217712177121771,20.0,311.0,0.2596923687628337,0.2627390027046203,0.3383606374263763,0.0005619377256412
momo,middle_topk_d1_perdim_aux1p0_full,middle,topk,interpretability:mono+tcav,0.9941268893851858,0.9457633565524112,40.0,0.6328125,0.9895,0.4946808510638298,0.5065371024734983,0.45,0.5043729913819293,0.1060070671378091,20.0,311.0,0.287284710577556,0.2476860731840133,0.4034341871738434,0.0004718915832069
momo,,middle_matryoshka_d2_perdim_aux1p0,momo,error: [enforce fail at inline_container.cc:626] . unexpected pos 22720 vs 22614,,,,,,,,,,,,,,,,
momo,,middle_matryoshka_d2_perdim_aux1p0_full,momo,error: [enforce fail at inline_container.cc:626] . unexpected pos 22720 vs 22614,,,,,,,,,,,,,,,,
momo,,middle_topk_d1_perdim_aux1p0,momo,error: [enforce fail at inline_container.cc:626] . unexpected pos 22720 vs 22614,,,,,,,,,,,,,,,,
momo,,middle_topk_d1_perdim_aux1p0_full,momo,error: [enforce fail at inline_container.cc:626] . unexpected pos 22720 vs 22614,,,,,,,,,,,,,,,,
satmae_pp,late_matryoshka_d2_perdim_aux1p0,late,matryoshka,interpretability:mono+tcav,0.982855144378871,0.8448705614673235,40.0,0.60498046875,0.6627,0.5292130201895344,0.5426708074534162,0.5,0.5418583427140626,0.1453416149068323,20.0,311.0,0.3000114730426243,0.3110944330692291,0.3991858065128326,0.0001057194590186
satmae_pp,late_topk_d1_perdim_aux1p0,late,topk,interpretability:mono+tcav,0.9950117443609268,0.8463775436603095,40.0,0.3798828125,0.6696,0.5281102362204725,0.544794952681388,0.5,0.5445977917981072,0.1514195583596214,20.0,311.0,0.2851463045392717,0.2949361205101013,0.4129524528980255,-4.600882708213509e-05
satmae_pp,,late_matryoshka_d2_perdim_aux1p0,satmae_pp,error: [enforce fail at alloc_cpu.cpp:115] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8862285824 bytes.,,,,,,,,,,,,,,,,
satmae_pp,,late_topk_d1_perdim_aux1p0,satmae_pp,error: [enforce fail at alloc_cpu.cpp:115] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8862285824 bytes.,,,,,,,,,,,,,,,,
satmae_pp,middle_matryoshka_d2_perdim_aux1p0,middle,matryoshka,interpretability:mono+tcav,0.9926097934304472,0.8851092012928486,39.99997965494792,0.73681640625,0.6924,0.4913729128014842,0.5175373134328358,0.5,0.5179601867863588,0.1026119402985074,20.0,311.0,0.3161354128803526,0.3026582896709442,0.4759675860404968,0.0002943820449599
satmae_pp,middle_topk_d1_perdim_aux1p0,middle,topk,interpretability:mono+tcav,1.0009517108967547,0.8888637825193881,40.0,0.5390625,0.7317,0.4938559322033898,0.521292372881356,0.5,0.5218220338983051,0.1144067796610169,20.0,311.0,0.2984286248683929,0.2840149402618408,0.4606774449348449,0.0003912854693583
satmae_pp,,middle_matryoshka_d2_perdim_aux1p0,satmae_pp,error: [enforce fail at alloc_cpu.cpp:115] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8862285824 bytes.,,,,,,,,,,,,,,,,
satmae_pp,,middle_topk_d1_perdim_aux1p0,satmae_pp,error: [enforce fail at alloc_cpu.cpp:115] data. DefaultCPUAllocator: not enough memory: you tried to allocate 8862285824 bytes.,,,,,,,,,,,,,,,,
